Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 09:43:20,06-02-2024 09:43:22,1.319s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_password""), password)",Edge Chromium 121,,,06-02-2024 09:43:22,06-02-2024 09:43:23,1.617s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_login-button""))",Edge Chromium 121,,,06-02-2024 09:43:23,06-02-2024 09:43:24,0.762s,PASSED
closeBrowser(),Edge Chromium 121,,,06-02-2024 09:43:24,06-02-2024 09:43:26,1.557s,PASSED
Video,Edge Chromium 121,,,06-02-2024 09:43:28,06-02-2024 09:43:28,0.003s,PASSED
,,,,,,,
Test Cases/Swag Labs,Edge Chromium 121,,,06-02-2024 09:43:28,06-02-2024 09:43:46,17.858s,PASSED
"openBrowser("""")",Edge Chromium 121,,,06-02-2024 09:43:28,06-02-2024 09:43:34,5.797s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 121,,,06-02-2024 09:43:34,06-02-2024 09:43:36,2.215s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""))",Edge Chromium 121,,,06-02-2024 09:43:36,06-02-2024 09:43:38,2.016s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 09:43:38,06-02-2024 09:43:40,1.630s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_password""), password)",Edge Chromium 121,,,06-02-2024 09:43:40,06-02-2024 09:43:41,1.630s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_login-button""))",Edge Chromium 121,,,06-02-2024 09:43:41,06-02-2024 09:43:42,0.783s,PASSED
closeBrowser(),Edge Chromium 121,,,06-02-2024 09:43:42,06-02-2024 09:43:44,1.524s,PASSED
Video,Edge Chromium 121,,,06-02-2024 09:43:46,06-02-2024 09:43:46,0.001s,PASSED
