Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwagLabs,Edge Chromium 121,,,06-02-2024 10:49:03,06-02-2024 10:51:47,2m - 43.973s,ERROR
,,,,,,,
Test Cases/Swag Labs,Edge Chromium 121,,,06-02-2024 10:49:03,06-02-2024 10:49:30,27.313s,ERROR
"openBrowser("""")",Edge Chromium 121,,,06-02-2024 10:49:04,06-02-2024 10:49:13,8.840s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 121,,,06-02-2024 10:49:13,06-02-2024 10:49:18,4.595s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""))",Edge Chromium 121,,,06-02-2024 10:49:18,06-02-2024 10:49:22,4.157s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 10:49:22,06-02-2024 10:49:24,1.607s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_password""), password)",Edge Chromium 121,,,06-02-2024 10:49:24,06-02-2024 10:49:25,1.183s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_login-button""))",Edge Chromium 121,,,06-02-2024 10:49:25,06-02-2024 10:49:26,1.557s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/span_Products""), 60)",Edge Chromium 121,,,06-02-2024 10:49:26,06-02-2024 10:49:28,1.173s,PASSED
"actualText = getText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/span_Products""))",Edge Chromium 121,,,06-02-2024 10:49:28,06-02-2024 10:49:28,0.525s,PASSED
"if (actualText.equals(""Products""))",Edge Chromium 121,,,06-02-2024 10:49:28,06-02-2024 10:49:28,0.112s,ERROR
Video,Edge Chromium 121,,,06-02-2024 10:49:30,06-02-2024 10:49:30,0.002s,PASSED
,,,,,,,
Test Cases/Swag Labs,Edge Chromium 121,,,06-02-2024 10:49:30,06-02-2024 10:50:18,47.837s,FAILED
"openBrowser("""")",Edge Chromium 121,,,06-02-2024 10:49:30,06-02-2024 10:49:37,6.898s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 121,,,06-02-2024 10:49:37,06-02-2024 10:49:38,0.944s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""))",Edge Chromium 121,,,06-02-2024 10:49:38,06-02-2024 10:49:43,4.400s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 10:49:43,06-02-2024 10:49:43,0.778s,PASSED
